latitude,longitude,free_bikes,Name,Address,City,Country,Rating,Distance (m)
48.882030182599,2.363561578095,2.0,La Bulle,"48 rue Louis Blanc, None, None",Paris,FR,4.0,12.096417452060038
48.88126951579429,2.368186041712761,2.0,Point Ephémère,200 quai de Valmy,Paris,FR,3.8,85.55607160291173
48.874330377560476,2.3621229082345963,3.0,Les Enfants Perdus,9 rue des Recollets,Paris,FR,4.1,10.589560014801885
48.870948218595,2.3612049221992,2.0,Assanabel,6 rue Pierre Chausson,Paris,FR,4.4,74.58577604937706
48.87287120589831,2.3542150855064397,11.0,Le 52,52 rue du Faubourg Saint-Denis,Paris,FR,4.5,88.80270881124154
48.87748519186726,2.3660067468881607,1.0,Le Valmy,"145 quai de Valmy, None, None",Paris,FR,3.9,64.08094795345345
48.87748519186726,2.3660067468881607,1.0,Street Bangkok Local Food,3 rue Eugène Varlin,Paris,FR,4.1,74.08493279955763
48.87756832086,2.3698791861534,7.0,Generator Paris,"9-11 place du Colonel Fabien, None",Paris,FR,3.5,78.22657379598499
48.857058739111,2.3417982839439,16.0,Le Réfectoire - Foodtruck,,Paris,FR,4.5,46.051456590865044
48.879359419425,2.3665961623192,0.0,FLESH,"23 rue Louis Blanc, , None",Paris,FR,4.6,83.17072955280506
48.879359419425,2.3665961623192,0.0,Kheak & Vero,1 rue Alexandre Parodi,Paris,FR,4.3,14.026547029517442
48.879359419425,2.3665961623192,0.0,Bizz' Art,167 quai de Valmy,Paris,FR,3.3,33.478298161207576
48.879359419425,2.3665961623192,0.0,Le Cafe Bizz'art,167 quai de Valmy,Paris,FR,3.5,22.204021556016222
